new,previous,datum,stratum,parameter,probability,point_difference,lower,upper,primary_classification
A_CN,A0_CN,102,representative,log10_Agw,0.5,-0.1869591368787622,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,log10_Agw,0.9,-0.11713528717871347,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,log10_Agw,0.95,-0.10452168891444868,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,gamma_gw,0.05,-0.004752006840803749,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,gamma_gw,0.5,0.0014191445337938258,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,gamma_gw,0.9,0.010400815366268024,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,gamma_gw,0.95,0.0060644753311007715,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,log10_Ar,0.05,0.41315584744934863,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,log10_Ar,0.5,0.017363757764248477,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,log10_Ar,0.9,-0.01272827157924028,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,log10_Ar,0.95,-0.01281122589916639,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,log10_EFAC,0.05,0.05130150089872504,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,log10_EFAC,0.5,-0.0047266058534566335,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,log10_EFAC,0.9,-0.04822943565210425,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,log10_EFAC,0.95,-0.06019042676437203,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,u,0.05,0.018091143146338133,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,u,0.5,0.0966052774158131,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,u,0.9,0.0343514051696342,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,u,0.95,0.018713542956008355,-1.0,1.0,inconclusive
A_CN,A0_CN,138,stress,log10_Agw,0.05,0.009481952050085174,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,log10_Agw,0.5,-0.0006220125397186083,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,log10_Agw,0.9,-0.001029108281882074,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,log10_Agw,0.95,-0.0006246867995858274,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,gamma_gw,0.05,-0.022591880322041402,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,gamma_gw,0.5,-0.048621813256056134,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,gamma_gw,0.9,-0.07227502231981009,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,gamma_gw,0.95,-0.06816131825536964,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,138,stress,log10_Ar,0.05,-0.003282126000659129,-1.0,1.0,descriptive_secondary
