new,previous,datum,stratum,parameter,point_width_difference,lower,upper
B_CN,A_CN,197,representative,log10_Ar,0.17926388487623257,-2.0,2.0
B_CN,A_CN,197,representative,log10_EFAC,0.04525709525019344,-2.0,2.0
B_CN,A_CN,249,representative,u,0.0020179094034095124,-2.0,2.0
B_CN,A_CN,249,representative,log10_Agw,0.09684610751130357,-2.0,2.0
B_CN,A_CN,249,representative,gamma_gw,0.029243769786538865,-2.0,2.0
B_CN,A_CN,249,representative,log10_Ar,0.1530613964691625,-2.0,2.0
B_CN,A_CN,249,representative,log10_EFAC,0.06128374046250981,-2.0,2.0
B_CN,A_CN,272,representative,u,0.0007463482870655458,-2.0,2.0
B_CN,A_CN,272,representative,log10_Agw,0.0503615181219047,-2.0,2.0
B_CN,A_CN,272,representative,gamma_gw,0.0002572151758979402,-2.0,2.0
B_CN,A_CN,272,representative,log10_Ar,0.12264503439953511,-2.0,2.0
B_CN,A_CN,272,representative,log10_EFAC,0.06489921604075033,-2.0,2.0
B_CN,A_CN,285,representative,u,0.005841952820342389,-2.0,2.0
B_CN,A_CN,285,representative,log10_Agw,0.1591111891810647,-2.0,2.0
B_CN,A_CN,285,representative,gamma_gw,-0.0010693608520973008,-2.0,2.0
B_CN,A_CN,285,representative,log10_Ar,0.05353343800168231,-2.0,2.0
B_CN,A_CN,285,representative,log10_EFAC,0.04513503161864996,-2.0,2.0
B_CN,A_CN,313,representative,u,0.00036102590763620324,-2.0,2.0
B_CN,A_CN,313,representative,log10_Agw,0.11591439793485303,-2.0,2.0
B_CN,A_CN,313,representative,gamma_gw,0.006886297103251837,-2.0,2.0
B_CN,A_CN,313,representative,log10_Ar,0.18250917821054902,-2.0,2.0
B_CN,A_CN,313,representative,log10_EFAC,0.1258664094330531,-2.0,2.0
B_CN,A_CN,327,representative,u,0.0020705978340146425,-2.0,2.0
B_CN,A_CN,327,representative,log10_Agw,0.09936565555720012,-2.0,2.0
B_CN,A_CN,327,representative,gamma_gw,0.2288717024919179,-2.0,2.0
B_CN,A_CN,327,representative,log10_Ar,-0.026620429416031044,-2.0,2.0
B_CN,A_CN,327,representative,log10_EFAC,0.3308792765931612,-2.0,2.0
B_CN,A_CN,333,stress,u,-0.0009694808837015234,-2.0,2.0
B_CN,A_CN,333,stress,log10_Agw,0.027286574728364377,-2.0,2.0
B_CN,A_CN,333,stress,gamma_gw,0.10904235255875927,-2.0,2.0
B_CN,A_CN,333,stress,log10_Ar,0.011108082134096975,-2.0,2.0
B_CN,A_CN,333,stress,log10_EFAC,0.22281839957033933,-2.0,2.0
B_CN,A_CN,346,representative,u,0.001645465554397263,-2.0,2.0
B_CN,A_CN,346,representative,log10_Agw,0.11122634085296046,-2.0,2.0
B_CN,A_CN,346,representative,gamma_gw,0.01050833034094889,-2.0,2.0
B_CN,A_CN,346,representative,log10_Ar,0.16697087843342318,-2.0,2.0
B_CN,A_CN,346,representative,log10_EFAC,0.07221525337238222,-2.0,2.0
B_CN,A_CN,355,representative,u,0.005303287382149802,-2.0,2.0
B_CN,A_CN,355,representative,log10_Agw,0.18598436485878755,-2.0,2.0
