T_years,u,window,p,q,nuisance_vertices,KL_p_to_q_minimum,KL_p_to_q_maximum,KL_p_to_q_argmax_eta,mean_shift_metric_p_squared_minimum,mean_shift_metric_p_squared_maximum,mean_shift_metric_p_squared_argmax_eta,covariance_difference_metric_q_minimum,covariance_difference_metric_q_maximum,covariance_difference_metric_q_argmax_eta
4.5,0.5,1,B,C_full,16,4.5892017202497757e-10,0.20694134722379084,8,6.506791389923548e-10,0.20182193273720683,8,2.3115112454364513e-05,0.621881287572858,8
4.5,0.5,1,C_beta,C_full,16,7.880141456410745e-17,8.218194576417843e-08,8,7.771116811940788e-17,1.0417558084123856e-07,8,1.2640542775518336e-08,0.00034694901447530245,8
4.5,0.8,1,B,C_beta,16,7.43853645348031e-10,0.533266515471212,8,1.0607022844652451e-09,0.4647659702411617,8,2.9222949763435188e-05,1.0366986314229931,8
4.5,0.8,1,B,C_full,16,7.438411010266398e-10,0.5332369624156392,8,1.0607093462996985e-09,0.4647511511728339,8,2.9221849553028864e-05,1.03664486873496,8
4.5,0.8,1,C_beta,C_full,16,7.251429769527697e-17,1.2747069175842722e-07,8,6.720527916217891e-17,1.4928922591667534e-07,8,1.2475841939629465e-08,0.0004596639878450571,8
4.5,0.995,1,B,C_beta,16,8.343154653735526e-10,0.779786612662805,8,1.1921700923473721e-09,0.6372313952242572,8,3.0868864497268405e-05,1.2827619687548588,8
4.5,0.995,1,B,C_full,16,8.342258336215644e-10,0.7800537007332278,8,1.1921690442289455e-09,0.6374267180814914,8,3.0863090630533276e-05,1.2828945558585163,8
4.5,0.995,1,C_beta,C_full,16,6.366296635598896e-16,1.6686188804631736e-06,8,4.763064087758043e-16,1.8573104033438714e-06,8,3.992375019059471e-08,0.0017205160302373851,8
9.0,0.0,0,B,C_beta,16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
9.0,0.0,0,B,C_full,16,1.3480392267685096e-14,4.0643030684505435e-06,8,1.984988261721185e-14,5.492312363434834e-06,8,1.192552030923307e-07,0.0022948958644513663,8
9.0,0.0,0,C_beta,C_full,16,1.3480392267685096e-14,4.0643030684505435e-06,8,1.984988261721185e-14,5.492312363434834e-06,8,1.192552030923307e-07,0.0022948958644513663,8
9.0,0.2,0,B,C_beta,16,1.7650243628613248e-09,0.3311046005511614,8,2.795050294774482e-09,0.35305394379930016,8,3.8339332407009585e-05,0.7199766229076962,8
9.0,0.2,0,B,C_full,16,1.764351231466654e-09,0.3309630286696276,8,2.7942271572026203e-09,0.3529066930352376,8,3.832568566157361e-05,0.7198245848207547,8
9.0,0.2,0,C_beta,C_full,16,7.581528983864472e-15,2.902983462800922e-06,8,1.1788397492819912e-14,4.542429552139414e-06,8,8.215424970126755e-08,0.0015891649960197301,8
