u,eta_index,quantity,actual_Frobenius,first_order_Frobenius,remainder_Frobenius,relative_remainder
0.001,9,C,5.1275127950698525e-05,5.1283100421996385e-05,8.46723097277109e-09,0.00016513329778352587
0.001,9,mean,7.816706127655167e-06,7.817992677661317e-06,1.2900096291054749e-09,0.00016503238167563659
0.001,9,covariance,5.402286621344734e-06,5.403278986638947e-06,9.945279747468344e-10,0.00018409389291145701
0.001,10,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,10,C,5.127512795083266e-05,5.1283100421996385e-05,8.467230720079725e-09,0.00016513329285494692
0.001,10,mean,7.816706127972676e-06,7.817992677661317e-06,1.2900092902158258e-09,0.00016503233831439943
0.001,10,covariance,1.4997937553664613e-06,1.5000301541886803e-06,2.370163079948099e-10,0.0001580326009137817
0.001,11,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,11,C,5.127512795091346e-05,5.1283100421996385e-05,8.467230695986227e-09,0.00016513329238480005
0.001,11,mean,7.816706128925203e-06,7.817992677661317e-06,1.290008273547262e-09,0.00016503220823073698
0.001,11,covariance,5.686554410667958e-06,5.687584014381754e-06,1.0319215110106025e-09,0.00018146691941867664
0.001,12,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,12,C,0.0003517150500329819,0.0003517668192889456,5.459881693853728e-08,0.00015523594151975386
0.001,12,mean,4.255101835923651e-05,4.255747780480383e-05,6.47709912121338e-09,0.00015221960298412936
0.001,12,covariance,4.8557325668650714e-05,4.856462393054088e-05,7.318379360852208e-09,0.00015071627730884398
0.001,13,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,13,C,0.0003517150500351063,0.0003517668192889456,5.45988148948131e-08,0.0001552359357080777
0.001,13,mean,4.255101835935258e-05,4.255747780480383e-05,6.477098288788206e-09,0.00015221958342072348
0.001,13,covariance,6.812847037795812e-05,6.813919214745369e-05,1.0757680981823314e-08,0.00015790286971280348
0.001,14,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,14,C,0.00035171505003405297,0.0003517668192889456,5.459881574543544e-08,0.00015523593812704118
0.001,14,mean,4.255101835427138e-05,4.255747780480383e-05,6.477103711633726e-09,0.00015221971088227876
0.001,14,covariance,5.051923853609549e-05,5.0526793983267666e-05,7.574882327938252e-09,0.0001499405483423127
0.001,15,Gamma,5.032996208436668e-05,5.0339676662240014e-05,1.0364304847082253e-08,0.0002059271340143047
0.001,15,C,0.00035171505003454075,0.0003517668192889456,5.459881586294232e-08,0.0001552359384609227
0.001,15,mean,4.255101835427138e-05,4.255747780480383e-05,6.477103711633726e-09,0.00015221971088227876
0.001,15,covariance,7.015472283360347e-05,7.016570847182562e-05,1.102102753300066e-08,0.00015709601702997093
0.002,0,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,0,C,2.0500489422403372e-08,2.051324016879855e-08,1.3541979256353821e-11,0.0006605685833800074
0.002,0,mean,3.125139546989756e-09,3.127197071064526e-09,2.0630508373187556e-12,0.0006601467890628944
0.002,0,covariance,1.1441956277675172e-10,1.1450584654158776e-10,8.640119227085062e-14,0.0007551260481516715
0.002,1,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,1,C,2.0500488691082652e-08,2.051324016879855e-08,1.3542516203678811e-11,0.000660594798872749
0.002,1,mean,3.125140182872625e-09,3.127197071064526e-09,2.062366711796763e-12,0.0006599277443935453
0.002,1,covariance,1.830218272852674e-09,1.8315988796099663e-09,1.3824874779121886e-12,0.000755367541903825
0.002,2,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,2,C,2.0500489429896718e-08,2.051324016879855e-08,1.3541985150442276e-11,0.0006605688706482019
0.002,2,mean,3.125139389127455e-09,3.127197071064526e-09,2.063213788379946e-12,0.0006601989644231514
0.002,2,covariance,2.2789712063331388e-10,2.2804298508970526e-10,1.46220352699876e-13,0.0006416068456395477
0.002,3,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,3,C,2.0500489946614546e-08,2.051324016879855e-08,1.354127552310036e-11,0.0006605342388578654
0.002,3,mean,3.1251403380747447e-09,3.127197071064526e-09,2.0622231722854306e-12,0.0006598817810389506
0.002,3,covariance,1.9410900079733755e-09,1.9425287148959437e-09,1.4408842865803721e-12,0.0007423067867340934
0.002,4,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,4,C,1.4062392728183608e-07,1.4070672771557826e-07,8.732634895030401e-11,0.0006209921073764782
0.002,4,mean,1.7012659962570897e-08,1.7022991121921532e-08,1.0359380103826805e-11,0.0006089218338941826
0.002,4,covariance,5.913911359064763e-10,5.917992396565049e-10,4.087098866892313e-13,0.0006910991083130902
0.002,5,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,5,C,1.4062392705990818e-07,1.4070672771557826e-07,8.732651155884027e-11,0.0006209932646926983
0.002,5,mean,1.7012659554108743e-08,1.7022991121921532e-08,1.0359825728454761e-11,0.0006089480422214615
0.002,5,covariance,9.438702748791476e-09,9.445218107230814e-09,6.524976017187813e-12,0.0006913000854935564
0.002,6,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,6,C,1.4062392730976347e-07,1.4070672771557826e-07,8.73263338483181e-11,0.0006209919998604324
0.002,6,mean,1.7012659952873048e-08,1.7022991121921532e-08,1.0359389069916546e-11,0.0006089223612658573
0.002,6,covariance,1.3907041594990392e-09,1.3915239771976636e-09,8.216466156271841e-13,0.0005908133732217774
0.002,7,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,7,C,1.4062392727455882e-07,1.4070672771557826e-07,8.732637802121505e-11,0.0006209923141366699
0.002,7,mean,1.7012659554108743e-08,1.7022991121921532e-08,1.0359825728454761e-11,0.0006089480422214615
0.002,7,covariance,1.0217229241589113e-08,1.0224144263139211e-08,6.926130970503061e-12,0.000677887400461793
0.002,8,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
0.002,8,C,0.00020500489476139603,0.00020513240168798554,1.3541914044865052e-07,0.0006605654006762329
0.002,8,mean,3.125139494821598e-05,3.127197071064527e-05,2.063106141085738e-08,0.0006601644964982635
0.002,8,covariance,4.847355406975138e-06,4.850522799605634e-06,3.1786504297902506e-09,0.0006557494062053523
0.002,9,Gamma,0.00020120336315863368,0.00020135870664896006,1.6573163741212766e-07,0.0008237021231173992
