contrast_index,new_model,old_model,group,u_bin,gamma_bin,parameter,quantity,probability,units,n,mean,median,std_between_datasets,empirical_p05,empirical_p25,empirical_p75,empirical_p95,minimum,maximum,both_parameter_PIT_functions_resolved,both_LOW_cut_CDF_precision,all_bin_datasets_retained
0,A_CN,A0_CN,all500,-1,-1,log10_Ar,quantile,0.95,fraction_prior_width,500,-0.0002227790879942233,-0.005175497229230663,0.060237838457400786,-0.09360673943672883,-0.03742636913558295,0.026289542294448687,0.10913133603973117,-0.19321991397756189,0.28643003693862445,486,496,True
0,A_CN,A0_CN,all500,-1,-1,log10_Ar,central90_width,,fraction_prior_width,500,0.01174279458516028,-0.0002878115046232588,0.13334497195185135,-0.09289481351864262,-0.03061243432232974,0.03579383438888206,0.1545361539680379,-0.6266286449648504,0.832125810188076,486,496,True
0,A_CN,A0_CN,all500,-1,-1,log10_EFAC,quantile,0.05,fraction_prior_width,500,0.0148934997341828,0.011533711476179456,0.050516820580071946,-0.07336365536012512,-0.01327734118655063,0.0489999764168349,0.0955227580082688,-0.14633681632099826,0.21762989795971338,486,500,True
0,A_CN,A0_CN,all500,-1,-1,log10_EFAC,quantile,0.5,fraction_prior_width,500,-0.02389219591102752,-0.022747098319492925,0.04854548916163892,-0.11031177105378182,-0.05293731757451199,0.01088827402170972,0.0470878601688304,-0.15945391701431477,0.12515369311641683,486,496,True
0,A_CN,A0_CN,all500,-1,-1,log10_EFAC,quantile,0.9,fraction_prior_width,500,-0.05282552112187768,-0.050646136850446055,0.04959126784227755,-0.14315061888145955,-0.08169304317590623,-0.01588190832039718,0.017701994063577805,-0.23956910998947414,0.06649558013313173,486,499,True
0,A_CN,A0_CN,all500,-1,-1,log10_EFAC,quantile,0.95,fraction_prior_width,500,-0.060151227862330306,-0.05859160163162114,0.050405423291068376,-0.14682966454416818,-0.08986257573286595,-0.02255257230981711,0.008377453201113919,-0.2569848857660012,0.055981448891320174,486,500,True
0,A_CN,A0_CN,all500,-1,-1,log10_EFAC,central90_width,,fraction_prior_width,500,-0.07504472759651311,-0.07208987098358319,0.03396884914107264,-0.13549951906507865,-0.08869150781407978,-0.060195712435140845,-0.026134967696578207,-0.22871648858406834,0.05224396930359643,486,500,True
0,A_CN,A0_CN,u,0,-1,u,quantile,0.05,fraction_prior_width,243,0.003898025724770639,0.0010381796918009292,0.01912031335808274,-0.012651585170385688,-0.003854388250545477,0.005865122535673244,0.03648110696934937,-0.07134641917229256,0.15980000773046335,236,243,True
0,A_CN,A0_CN,u,0,-1,u,quantile,0.5,fraction_prior_width,243,0.009269758039580167,0.00327104292232272,0.062355500943686644,-0.08485224469167328,-0.020710192734416738,0.03889851899898916,0.12096337840781371,-0.21835330657600882,0.21024400751661004,236,242,True
0,A_CN,A0_CN,u,0,-1,u,quantile,0.9,fraction_prior_width,243,0.004860649827001318,0.0009594922260135474,0.04431605011735782,-0.05424464756194777,-0.006725261884995115,0.01591575465149797,0.07166294206776468,-0.23354353708856257,0.1791113609974686,236,243,True
0,A_CN,A0_CN,u,0,-1,u,quantile,0.95,fraction_prior_width,243,0.0029038136519849,0.0005490463504671528,0.03312252276486219,-0.036005740423662315,-0.003265855277880869,0.007932899440940722,0.04644695369605578,-0.24740197041814516,0.11332125339595411,236,243,True
0,A_CN,A0_CN,u,0,-1,u,central90_width,,fraction_prior_width,243,-0.000994212072785736,-0.000224801714184375,0.03098871076541152,-0.031062048583374878,-0.0028713828808216157,0.002520603684720013,0.03807611429504484,-0.23492118457851807,0.1107829606091073,236,243,True
0,A_CN,A0_CN,u,0,-1,log10_Agw,quantile,0.05,fraction_prior_width,243,-0.020752794040603612,0.00032480398655332365,0.1271240458375525,-0.2962545826984152,-0.024843640359291642,0.02058943230030401,0.13000187684088582,-0.5534827505420403,0.5114330411135269,234,240,True
0,A_CN,A0_CN,u,0,-1,log10_Agw,quantile,0.5,fraction_prior_width,243,0.007127181342335154,0.0002853077023297068,0.10340420681103513,-0.12179777722062969,-0.04604670877690081,0.04180585295818967,0.20289681626330364,-0.3948076073081398,0.48860484686316585,234,237,True
0,A_CN,A0_CN,u,0,-1,log10_Agw,quantile,0.9,fraction_prior_width,243,0.001919742873006077,-0.0037600706849680865,0.0736170015837824,-0.09824467586584601,-0.038950294566659466,0.027921943012123,0.13759642079229994,-0.16524698597976617,0.3478145423997993,234,242,True
0,A_CN,A0_CN,u,0,-1,log10_Agw,quantile,0.95,fraction_prior_width,243,-0.0003176092362130232,-0.006015396321438549,0.06707760503199531,-0.08999837136978422,-0.03694344006419581,0.024659697075428477,0.12049788555832876,-0.15168017649795767,0.350384627941727,234,242,True
0,A_CN,A0_CN,u,0,-1,log10_Agw,central90_width,,fraction_prior_width,243,0.020435184804390587,-0.0056295639067514,0.1186886024634277,-0.10950287716966686,-0.03776244651679708,0.047339384514591576,0.2751189485440883,-0.42391672858471285,0.5164976800877912,234,239,True
0,A_CN,A0_CN,u,0,-1,gamma_gw,quantile,0.05,fraction_prior_width,243,0.0002297673110452013,-0.0011992326892628358,0.06633996220660401,-0.09075672658349568,-0.014181138039434747,0.00582145432551775,0.0995762051310184,-0.2776210385486628,0.3947084685566885,235,242,True
0,A_CN,A0_CN,u,0,-1,gamma_gw,quantile,0.5,fraction_prior_width,243,-0.01567013351127762,-0.00762823770733434,0.09253432648672091,-0.179087640929479,-0.05358650932908118,0.03185624627760991,0.13880998720394455,-0.32527488004907856,0.3040795958359903,235,241,True
0,A_CN,A0_CN,u,0,-1,gamma_gw,quantile,0.9,fraction_prior_width,243,-0.02086036619206935,-0.004040669361414118,0.07526740031512805,-0.1813046929390684,-0.035644704118869885,0.01591743718887184,0.06330352418356949,-0.3860927755507133,0.15000208555210526,235,242,True
